cod_prov;provincia;comunidad_autonoma;temporada_alta;presion_turistica_hab;estacionalidad_cv;ocupacion_hotel_media;ocupacion_hotel_pico;ocupacion_hotel_finsemana;poblacion;viajeros_hotel_anual;estancia_media_hotel;plazas_hotel_media;puntos_turisticos_ine;adr_medio;revpar_max;plazas_rural_media;ocupacion_rural_media;viajeros_rural_anual;estancia_media_rural;cluster_saturacion;saturacion;cluster_potencial;potencial
35;Las Palmas;Canarias;Verano;5.907145433166244;0.0698636799601813;74.51;82.85;75.17;1128539.0;13315197.0;6.8;162411.0;9;142.72;133.82;663.0;37.02;5227.0;2.47;1;Hipersaturado;2;Potencial alto
36;Pontevedra;Galicia;Verano;1.923826215879908;0.4962703415402875;43.24;72.6;50.31;944275.0;3641531.0;2.03;21114.0;2;78.84083333333334;78.51;1299.0;20.4;16386.0;2.54;0;Desaprovechado;2;Potencial alto
37;Salamanca;Castilla y León;Verano;3.216018305238011;0.2625753629624615;44.53;58.83;57.58;327338.0;2120013.0;1.69;10732.0;2;70.89666666666666;45.04;4135.0;14.29;43165.0;2.22;0;Desaprovechado;0;Potencial bajo
38;Santa Cruz de Tenerife;Canarias;Verano;4.532485003423002;0.0603357617992283;72.34;81.2;74.05;1044405.0;9330239.0;5.93;103199.0;4;150.29083333333332;146.16;2418.0;30.64;11080.0;3.34;1;Hipersaturado;2;Potencial alto
39;Cantabria;Cantabria;Verano;2.321055179835314;0.4818822153674549;43.56;74.79;53.61;584507.0;2754671.0;2.15;16539.0;1;88.915;109.29;7410.0;23.56;122480.0;2.58;0;Desaprovechado;2;Potencial alto
40;Segovia;Castilla y León;Verano;3.595100967702049;0.249588091281822;42.49;58.79;55.73;153663.0;1143080.0;1.78;6159.0;1;79.42333333333333;52.59;4097.0;17.68;57452.0;2.11;0;Desaprovechado;0;Potencial bajo
41;Sevilla;Andalucía;Otoño;2.024600431654972;0.0960235868763696;60.54;70.15;68.11;1947852.0;7643709.0;2.05;36326.0;1;121.87333333333332;142.67;2132.0;16.52;17693.0;2.64;0;Desaprovechado;2;Potencial alto
42;Soria;Castilla y León;Verano;2.8649193775564243;0.2898240466519886;33.26;48.49;43.23;88747.0;519650.0;1.85;3794.0;1;74.205;40.4;2794.0;17.88;37769.0;2.33;0;Desaprovechado;0;Potencial bajo
43;Tarragona;Cataluña/Catalunya;Verano;4.03926990948658;0.6224724117109081;52.15;80.37;60.01;822309.0;6488281.0;3.32;45172.0;1;94.52833333333332;135.27;2504.0;18.83;26421.0;2.39;0;Desaprovechado;2;Potencial alto
44;Teruel;Aragón;Verano;3.431862945482924;0.2473945486297583;35.18;47.14;45.76;134545.0;928657.0;2.04;7124.0;2;75.55666666666666;46.2;2932.0;18.37;34395.0;2.65;0;Desaprovechado;0;Potencial bajo
45;Toledo;Castilla-La Mancha;Otoño;1.3158937867474485;0.2222859851374357;41.77;51.89;52.78;709403.0;1867568.0;1.67;10135.0;1;83.94;60.95;3319.0;17.8;46597.0;2.05;0;Desaprovechado;0;Potencial bajo
46;València/Valencia;Comunitat Valenciana;Verano;1.4501821333234466;0.1771371939450677;60.33;75.11;68.72;2589312.0;7376022.0;2.37;39926.0;2;102.94083333333332;101.31;2329.0;17.86;25134.0;2.56;0;Desaprovechado;2;Potencial alto
47;Valladolid;Castilla y León;Verano;1.386266970373209;0.1491376960107247;45.69;51.88;55.93;519361.0;1406899.0;1.76;7466.0;1;82.40583333333333;60.62;1777.0;16.52;24433.0;1.95;0;Desaprovechado;0;Potencial bajo
48;Bizkaia;País Vasco/Euskadi;Verano;1.5563164560690406;0.2324533520562717;57.69;78.61;67.32;1154334.0;3531318.0;1.93;16346.0;1;108.8375;116.54;1138.0;26.99;15211.0;2.65;0;Desaprovechado;2;Potencial alto
49;Zamora;Castilla y León;Verano;1.2839176174248037;0.2878872802209109;32.08;45.78;39.54;168725.0;430823.0;1.67;2980.0;1;71.42;41.71;2264.0;14.15;26622.0;2.13;0;Desaprovechado;0;Potencial bajo
50;Zaragoza;Aragón;Verano;1.6479618627074004;0.1570965176699248;50.53;55.64;60.7;967452.0;3184172.0;1.76;14951.0;1;77.81166666666667;60.11;1627.0;17.19;16600.0;2.59;0;Desaprovechado;2;Potencial alto
51;Ceuta;Ciudad Autónoma de Ceuta;Sin datos;0.75246955709616;0.2613471972374798;50.33;69.68;58.14;83517.0;0.0;0.0;683.0;0;79.8575;53.77;0.0;0.0;0.0;0.0;2;Grandes metrópolis;3;Ciudades pequeñas
52;Melilla;Ciudad Autónoma de Melilla;Sin datos;0.8005123984187524;0.1746082268281807;45.51;57.07;55.64;86261.0;0.0;0.0;827.0;0;83.765;69.68;0.0;0.0;0.0;0.0;2;Grandes metrópolis;3;Ciudades pequeñas
