cod_prov,provincia,comunidad_autonoma,temporada_alta,presion_turistica_hab,estacionalidad_cv,ocupacion_hotel_media,ocupacion_hotel_pico,ocupacion_hotel_finsemana,poblacion,viajeros_hotel_anual,estancia_media_hotel,plazas_hotel_media,puntos_turisticos_ine,adr_medio,revpar_max,plazas_rural_media,ocupacion_rural_media,viajeros_rural_anual,estancia_media_rural,hoteles_osm,restaurantes_osm,atracciones_osm,museos_osm,total_poi_osm,cluster_saturacion_id,cluster_saturacion,activos_culturales,capacidad_rural_libre,margen_hotel_valle,cluster_potencial_id,cluster_potencial,indice_saturacion,indice_potencial,politica_recomendada
28,Madrid,Comunidad de Madrid,M10,1.9969950754312047,0.0810702301210643,59.7,66.12,66.81,6751251.0,11299507.0,2.07,124624.0,2,148.82916666666668,144.16,3665.0,21.36,113889.0,1.79,365,4429,130,78,5002,1,Hipersaturado,208,2882.156,50223.472,1,Megadestinos con Gran Capacidad Ociosa en Valle,-0.48084818454953315,1.5950284330891127,Objetivo Prioritario: Inversión y Diversificación
29,Málaga,Andalucía,M08,3.756579036606,0.2896042604332761,61.52,79.81,66.21,1695651.0,5384669.0,3.58,93401.0,8,139.35,181.09,9698.0,22.42,52489.0,3.48,94,543,39,37,713,2,Grandes Metrópolis,76,7523.7084,35940.70479999999,1,Megadestinos con Gran Capacidad Ociosa en Valle,0.6486744690618612,1.5256468685100177,Desestacionalización y Gestión de Flujos
30,Murcia,Región de Murcia,M08,1.0079678047739655,0.2246095824412211,47.92,64.55,59.0,1518486.0,1324847.0,2.29,19233.0,2,76.59333333333333,71.24,2669.0,14.19,36576.0,2.44,21,182,16,17,236,0,Desaprovechado,33,2290.2689,10016.5464,0,Alto Potencial Cultural y Desestacionalizable,-0.41522237856366545,0.08375042905863661,Objetivo Prioritario: Inversión y Diversificación
31,Navarra,Comunidad Foral de Navarra,M08,1.7175093758928073,0.3100360631141254,46.76,67.65,54.76,661537.0,995289.0,1.97,12092.0,1,78.355,72.13,5546.0,20.85,97863.0,2.88,47,272,17,10,346,0,Desaprovechado,27,4389.659,6437.7807999999995,0,Alto Potencial Cultural y Desestacionalizable,-0.016102613131168675,0.32213584895688796,Desestacionalización y Gestión de Flujos
32,Ourense,Galicia,M08,1.1507848360051502,0.1796817301146599,32.27,48.89,38.44,305223.0,308994.0,2.0,5769.0,0,65.8325,33.93,712.0,19.21,16429.0,1.81,0,2,1,0,3,0,Desaprovechado,1,575.2248,3907.3437,2,Potencial Ecoturístico y Rural de Interior,-0.8642266093476167,-1.3140490927171093,Turismo Pausado / Ecoturismo de Nicho
33,Asturias,Principado de Asturias,M08,1.927372424371808,0.4159907921190591,43.71,74.44,53.67,1011792.0,1782023.0,2.03,22831.0,3,78.52749999999999,95.97,11819.0,19.77,194535.0,3.09,51,391,10,10,462,0,Desaprovechado,20,9482.3837,12851.569899999999,0,Alto Potencial Cultural y Desestacionalizable,0.41596597362752724,1.1126757030249883,Desestacionalización y Gestión de Flujos
34,Palencia,Castilla y León,M08,1.335583165224386,0.3588767839992229,39.43,55.3,42.57,159123.0,186330.0,1.99,2832.0,0,62.88583333333333,44.24,1715.0,17.73,33092.0,2.32,2,4,2,1,9,0,Desaprovechado,3,1410.9305,1715.3424,2,Potencial Ecoturístico y Rural de Interior,-0.2917976182461241,-1.0412163822619998,Turismo Pausado / Ecoturismo de Nicho
35,Las Palmas,Canarias,M08,5.907145433166244,0.0698636799601813,74.73,82.85,75.66,1128539.0,5639865.0,6.89,162074.0,9,142.72,133.82,658.0,37.13,7849.0,2.48,72,478,26,8,584,3,Destinos Maduros,34,413.68460000000005,40956.09979999999,1,Megadestinos con Gran Capacidad Ociosa en Valle,0.6919509983628394,0.4809087668639501,Desestacionalización y Gestión de Flujos
36,Pontevedra,Galicia,M08,1.923826215879908,0.4962703415402875,43.26,75.1,50.95,944275.0,1707473.0,2.13,21367.0,2,78.84083333333334,78.51,1295.0,18.92,24199.0,2.45,22,109,11,6,148,0,Desaprovechado,17,1049.9859999999999,12123.6358,0,Alto Potencial Cultural y Desestacionalizable,0.6009549106635886,-0.23430010055129818,Alerta de Saturación: Contención y Desvío de Demanda
37,Salamanca,Castilla y León,M08,3.216018305238011,0.2625753629624615,45.21,60.02,58.37,327338.0,978147.0,1.67,10583.0,2,70.89666666666666,45.04,4138.0,14.05,65985.0,2.22,46,248,26,15,335,0,Desaprovechado,41,3556.611,5798.425700000001,0,Alto Potencial Cultural y Desestacionalizable,-0.0011183330226589665,0.2634786528601805,Desestacionalización y Gestión de Flujos
38,Santa Cruz de Tenerife,Canarias,M08,4.532485003423002,0.0603357617992283,73.12,81.2,75.1,1044405.0,3913275.0,6.01,102206.0,4,150.29083333333332,146.16,2373.0,32.02,17239.0,3.28,26,327,8,14,375,3,Destinos Maduros,22,1613.1653999999999,27472.972799999992,0,Alto Potencial Cultural y Desestacionalizable,0.3546511579439175,0.28759271077701454,Desestacionalización y Gestión de Flujos
39,Cantabria,Cantabria,M08,2.321055179835314,0.4818822153674549,43.97,76.14,54.05,584507.0,1222113.0,2.2,16544.0,1,88.915,109.29,7145.0,23.56,183041.0,2.49,69,323,13,25,430,2,Grandes Metrópolis,38,5461.638,9269.6032,0,Alto Potencial Cultural y Desestacionalizable,0.6759864946306062,0.6000140878563962,Desestacionalización y Gestión de Flujos
40,Segovia,Castilla y León,M08,3.595100967702049,0.249588091281822,43.11,58.79,56.78,153663.0,518074.0,1.79,6151.0,1,79.42333333333333,52.59,4083.0,17.27,87186.0,2.11,53,96,115,15,279,0,Desaprovechado,130,3377.8659000000002,3499.3039,0,Alto Potencial Cultural y Desestacionalizable,0.017718962237541047,0.2955275768666431,Desestacionalización y Gestión de Flujos
41,Sevilla,Andalucía,M10,2.024600431654972,0.0960235868763696,59.83,70.15,66.99,1947852.0,3304795.0,2.05,35963.0,1,121.87333333333332,142.67,2162.0,16.23,26121.0,2.77,204,977,64,39,1284,2,Grandes Metrópolis,103,1811.1074,14446.337100000002,0,Alto Potencial Cultural y Desestacionalizable,-0.34517563429666825,0.5196508111334521,Objetivo Prioritario: Inversión y Diversificación
42,Soria,Castilla y León,M08,2.8649193775564243,0.2898240466519886,34.11,49.0,43.78,88747.0,237664.0,1.85,3704.0,1,74.205,40.4,2842.0,17.8,54910.0,2.26,0,1,0,0,1,0,Desaprovechado,0,2336.124,2440.5656000000004,2,Potencial Ecoturístico y Rural de Interior,-0.28369510824880845,-1.2832821725247143,Turismo Pausado / Ecoturismo de Nicho
