COD_PROV;PROVINCIA;COD_CA;COMUNIDAD_AUTONOMA;CAPITAL;Perc_Provincia;Perc_VALOR PERNOCTACIONES;Perc_VALOR VIAJERO;Perc_PERIODO PERNOCTACIONES;Perc_PERIODO VIAJERO;COD_INE;Ratios_Provincia;Ratios_Periodo ADR Dato;Ratios_Periodo ADR Tasa Var;Ratios_Periodo RevPar Dato;Ratios_Periodo RevPar Tasa Var;Ratios_Valor ADR Dato;Ratios_Valor ADR Tasa Var;Ratios_Valor RevPar Dato;Ratios_Valor RevPar Tasa Var;Ratios_ADR Anual Medio;cod_prov;Metricas_provincia;Metricas_poblacion;Metricas_total_viajeros;Metricas_media_mensual_viajeros;Metricas_std_mensual_viajeros;Metricas_presion_turistica;Metricas_indice_estacionalidad;Metricas_n_meses;Metricas__meta.fecha_extraccion
29;Málaga;1;Andalucía;Málaga;Málaga;19294652.0;5384669.0;M08;M08;29;Málaga;M08;M05;M08;M05;207.8;13.18;181.09;14.11;139.35;29;Málaga;1695651.0;6369847.0;530820.5833333334;153727.90245901025;3.756579036606;0.2896042604332761;12;2026-09-06T23:46:39.776749
30;Murcia;14;Región de Murcia;Murcia;Murcia;3036611.0;1324847.0;M08;M08;30;Murcia;M08;M01;M08;M10;98.83;8.41;71.24;8.31;76.59333333333333;30;Murcia;1518486.0;1530585.0;127548.75;28648.671478399705;1.0079678047739655;0.2246095824412211;12;2026-09-06T23:46:39.776749
31;Navarra;15;Comunidad Foral de Navarra;Pamplona/Iruña;Navarra;1962703.0;995289.0;M08;M08;31;Navarra;M07;M05;M07;M10;107.69;9.35;72.13;10.62;78.355;31;Navarra;661537.0;1136196.0;94683.0;29355.144563834743;1.7175093758928073;0.3100360631141254;12;2026-09-06T23:46:39.776749
32;Ourense;12;Galicia;Ourense;Ourense;618786.0;308994.0;M08;M08;32;Ourense;M07;M02;M08;M01;73.72;14.1;33.93;33.3;65.8325;32;Ourense;305223.0;351246.0;29270.5;5259.374081321153;1.1507848360051502;0.1796817301146599;12;2026-09-06T23:46:39.776749
33;Asturias;3;Principado de Asturias;Oviedo;Asturias;3618807.0;1782023.0;M08;M08;33;Asturias;M08;M09;M08;M12;120.92;9.98;95.97;18.42;78.52749999999999;33;Asturias;1011792.0;1950100.0;162508.33333333334;67601.97030928145;1.927372424371808;0.4159907921190591;12;2026-09-06T23:46:39.776749
34;Palencia;7;Castilla y León;Palencia;Palencia;371025.0;186330.0;M08;M08;34;Palencia;M07;M12;M08;M03;67.89;15.03;44.24;22.08;62.88583333333333;34;Palencia;159123.0;212522.0;17710.166666666668;6355.767657423572;1.335583165224386;0.3588767839992229;12;2026-09-06T23:46:39.776749
35;Las Palmas;5;Canarias;Las Palmas de Gran Canaria;Las Palmas;38872122.0;5639865.0;M08;M08;35;Palmas Las;M12;M08;M02;M08;159.57;8.64;133.82;11.89;142.72;35;Palmas, Las;1128539.0;6666444.0;555537.0;38811.85917403925;5.907145433166244;0.0698636799601813;12;2026-09-06T23:46:39.776749
36;Pontevedra;12;Galicia;Pontevedra;Pontevedra;3634798.0;1707473.0;M08;M08;36;Pontevedra;M08;M02;M08;M10;108.07;12.08;78.51;23.44;78.84083333333334;36;Pontevedra;944275.0;1816621.0;151385.08333333334;75127.92700993823;1.923826215879908;0.4962703415402875;12;2026-09-06T23:46:39.776749
37;Salamanca;7;Castilla y León;Salamanca;Salamanca;1638128.0;978147.0;M08;M08;37;Salamanca;M05;M10;M08;M10;77.47;11.86;45.04;11.01;70.89666666666666;37;Salamanca;327338.0;1052725.0;87727.08333333333;23034.970747888103;3.216018305238011;0.2625753629624615;12;2026-09-06T23:46:39.776749
38;Santa Cruz de Tenerife;5;Canarias;Santa Cruz de Tenerife;Santa Cruz Tenerife;23517966.0;3913275.0;M08;M08;38;Santa Cruz de Tenerife;M03;M03;M02;M03;169.4;10.97;146.16;11.31;150.29083333333332;38;Santa Cruz de Tenerife;1044405.0;4733750.0;394479.1666666667;23801.20103475809;4.532485003423002;0.0603357617992283;12;2026-09-06T23:46:39.776749
39;Cantabria;6;Cantabria;Santander;Cantabria;2692766.0;1222113.0;M08;M08;39;Cantabria;M08;M06;M08;M12;137.54;11.39;109.29;14.75;88.915;39;Cantabria;584507.0;1356673.0;113056.08333333331;54479.71589743427;2.321055179835314;0.4818822153674549;12;2026-09-06T23:46:39.776749
40;Segovia;7;Castilla y León;Segovia;Segovia;928156.0;518074.0;M08;M08;40;Segovia;M08;M04;M08;M10;89.17;9.65;52.59;10.81;79.42333333333333;40;Segovia;153663.0;552434.0;46036.16666666666;11490.078968265174;3.595100967702049;0.249588091281822;12;2026-09-06T23:46:39.776749
41;Sevilla;1;Andalucía;Sevilla;Sevilla;6768534.0;3304795.0;M10;M10;41;Sevilla;M04;M03;M04;M03;177.98;12.6;142.67;23.54;121.87333333333333;41;Sevilla;1947852.0;3943622.0;328635.1666666667;31556.727477046887;2.024600431654972;0.0960235868763696;12;2026-09-06T23:46:39.776749
