Valor;Localidad;Genero;Metrica;Unidad;COD_INE
186.0;Alba;Total;Total habitantes;Personas.;44007
80.0;Alba de Cerrato;Total;Total habitantes;Personas.;34006
5099.0;Alba de Tormes;Total;Total habitantes;Personas.;37008
205.0;Alba de Yeltes;Total;Total habitantes;Personas.;37009
175400.0;Albacete;Total;Total habitantes;Personas.;02003
339.0;Albagés, L';Total;Total habitantes;Personas.;25006
6322.0;Albaida;Total;Total habitantes;Personas.;46006
3220.0;Albaida del Aljarafe;Total;Total habitantes;Personas.;41003
17365.0;Albal;Total;Total habitantes;Personas.;46007
647.0;Albalá;Total;Total habitantes;Personas.;10007
984.0;Albaladejo;Total;Total habitantes;Personas.;13004
196.0;Albaladejo del Cuende;Total;Total habitantes;Personas.;16004
3523.0;Albalat de la Ribera;Total;Total habitantes;Personas.;46008
4368.0;Albalat dels Sorells;Total;Total habitantes;Personas.;46009
1574.0;Albalat dels Tarongers;Total;Total habitantes;Personas.;46010
1080.0;Albalate de Cinca;Total;Total habitantes;Personas.;22007
261.0;Albalate de las Nogueras;Total;Total habitantes;Personas.;16005
1148.0;Albalate de Zorita;Total;Total habitantes;Personas.;19006
1936.0;Albalate del Arzobispo;Total;Total habitantes;Personas.;44008
220.0;Albalatillo;Total;Total habitantes;Personas.;22008
688.0;Albanchez;Total;Total habitantes;Personas.;04004
903.0;Albanchez de Mágina;Total;Total habitantes;Personas.;23001
157.0;Albanyà;Total;Total habitantes;Personas.;17003
610.0;Albares;Total;Total habitantes;Personas.;19007
998.0;Albarracín;Total;Total habitantes;Personas.;44009
804.0;Albarreal de Tajo;Total;Total habitantes;Personas.;45003
644.0;Albatana;Total;Total habitantes;Personas.;02004
2331.0;Albatàrrec;Total;Total habitantes;Personas.;25007
13566.0;Albatera;Total;Total habitantes;Personas.;03005
728.0;Albelda;Total;Total habitantes;Personas.;22009
3930.0;Albelda de Iregua;Total;Total habitantes;Personas.;26005
132.0;Albendea;Total;Total habitantes;Personas.;16006
50.0;Albendiego;Total;Total habitantes;Personas.;19008
290.0;Albentosa;Total;Total habitantes;Personas.;44010
1504.0;Alberca de Záncara, La;Total;Total habitantes;Personas.;16007
1034.0;Alberca, La;Total;Total habitantes;Personas.;37010
94.0;Alberguería de Argañán, La;Total;Total habitantes;Personas.;37011
11099.0;Alberic;Total;Total habitantes;Personas.;46011
2743.0;Alberite;Total;Total habitantes;Personas.;26006
79.0;Alberite de San Juan;Total;Total habitantes;Personas.;50010
123.0;Albero Alto;Total;Total habitantes;Personas.;22011
109.0;Albero Bajo;Total;Total habitantes;Personas.;22012
270.0;Alberuela de Tubo;Total;Total habitantes;Personas.;22013
1584.0;Albesa;Total;Total habitantes;Personas.;25008
138.0;Albeta;Total;Total habitantes;Personas.;50011
764.0;Albi, L';Total;Total habitantes;Personas.;25009
220.0;Albillos;Total;Total habitantes;Personas.;09009
2718.0;Albinyana;Total;Total habitantes;Personas.;43002
557.0;Albiol, L';Total;Total habitantes;Personas.;43003
328.0;Albiztur;Total;Total habitantes;Personas.;20004
1370.0;Albocàsser;Total;Total habitantes;Personas.;12003
579.0;Alboloduy;Total;Total habitantes;Personas.;04005
19768.0;Albolote;Total;Total habitantes;Personas.;18003
703.0;Albondón;Total;Total habitantes;Personas.;18004
845.0;Albons;Total;Total habitantes;Personas.;17004
1568.0;Alborache;Total;Total habitantes;Personas.;46012
26273.0;Alboraia/Alboraya;Total;Total habitantes;Personas.;46013
672.0;Alborea;Total;Total habitantes;Personas.;02005
104.0;Alborge;Total;Total habitantes;Personas.;50012
170.0;Albornos;Total;Total habitantes;Personas.;05005
12799.0;Albox;Total;Total habitantes;Personas.;04006
1395.0;Albudeite;Total;Total habitantes;Personas.;30004
1995.0;Albuera, La;Total;Total habitantes;Personas.;06005
4482.0;Albuixech;Total;Total habitantes;Personas.;46014
422.0;Albuñán;Total;Total habitantes;Personas.;18005
7388.0;Albuñol;Total;Total habitantes;Personas.;18006
794.0;Albuñuelas;Total;Total habitantes;Personas.;18007
4928.0;Alburquerque;Total;Total habitantes;Personas.;06006
792.0;Alcabón;Total;Total habitantes;Personas.;45004
635.0;Alcadozo;Total;Total habitantes;Personas.;02006
38.0;Alcaine;Total;Total habitantes;Personas.;44011
244.0;Alcalá de Ebro;Total;Total habitantes;Personas.;50013
77474.0;Alcalá de Guadaíra;Total;Total habitantes;Personas.;41004
265.0;Alcalá de Gurrea;Total;Total habitantes;Personas.;22014
203208.0;Alcalá de Henares;Total;Total habitantes;Personas.;28005
382.0;Alcalá de la Selva;Total;Total habitantes;Personas.;44012
80.0;Alcalá de la Vega;Total;Total habitantes;Personas.;16008
5230.0;Alcalá de los Gazules;Total;Total habitantes;Personas.;11001
147.0;Alcalá de Moncayo;Total;Total habitantes;Personas.;50014
7349.0;Alcalà de Xivert;Total;Total habitantes;Personas.;12004
1130.0;Alcalá del Júcar;Total;Total habitantes;Personas.;02007
394.0;Alcalá del Obispo;Total;Total habitantes;Personas.;22015
12335.0;Alcalá del Río;Total;Total habitantes;Personas.;41005
4864.0;Alcalá del Valle;Total;Total habitantes;Personas.;11002
21496.0;Alcalá la Real;Total;Total habitantes;Personas.;23002
1428.0;Alcalalí;Total;Total habitantes;Personas.;03006
650.0;Alcampell;Total;Total habitantes;Personas.;22016
685.0;Alcanadre;Total;Total habitantes;Personas.;26007
10104.0;Alcanar;Total;Total habitantes;Personas.;43004
244.0;Alcanó;Total;Total habitantes;Personas.;25010
1329.0;Alcántara;Total;Total habitantes;Personas.;10008
43876.0;Alcantarilla;Total;Total habitantes;Personas.;30005
1468.0;Alcàntera de Xúquer;Total;Total habitantes;Personas.;46016
59.0;Alcantud;Total;Total habitantes;Personas.;16009
1062.0;Alcañices;Total;Total habitantes;Personas.;49003
16505.0;Alcañiz;Total;Total habitantes;Personas.;44013
259.0;Alcañizo;Total;Total habitantes;Personas.;45005
1512.0;Alcaracejos;Total;Total habitantes;Personas.;14003
1283.0;Alcaraz;Total;Total habitantes;Personas.;02008
10256.0;Alcarràs;Total;Total habitantes;Personas.;25011
10772.0;Alcàsser;Total;Total habitantes;Personas.;46015
2671.0;Alcaucín;Total;Total habitantes;Personas.;29002
10129.0;Alcaudete;Total;Total habitantes;Personas.;23003
1720.0;Alcaudete de la Jara;Total;Total habitantes;Personas.;45006
31914.0;Alcázar de San Juan;Total;Total habitantes;Personas.;13005
171.0;Alcázar del Rey;Total;Total habitantes;Personas.;16010
623.0;Alcazarén;Total;Total habitantes;Personas.;47005
20408.0;Alcázares, Los;Total;Total habitantes;Personas.;30902
558.0;Alcoba;Total;Total habitantes;Personas.;13006
