Valor;Localidad;Genero;Metrica;Unidad;COD_INE
16788.0;Hondarribia;Total;Total habitantes;Personas.;20036
1334.0;Hondón de los Frailes;Total;Total habitantes;Personas.;03078
1529.0;Honrubia;Total;Total habitantes;Personas.;16102
49.0;Honrubia de la Cuesta;Total;Total habitantes;Personas.;40099
277.0;Hontalbilla;Total;Total habitantes;Personas.;40100
139.0;Hontanar;Total;Total habitantes;Personas.;45075
1680.0;Hontanares de Eresma;Total;Total habitantes;Personas.;40101
69.0;Hontanas;Total;Total habitantes;Personas.;09159
255.0;Hontanaya;Total;Total habitantes;Personas.;16103
92.0;Hontangas;Total;Total habitantes;Personas.;09160
54.0;Hontecillas;Total;Total habitantes;Personas.;16104
475.0;Hontoba;Total;Total habitantes;Personas.;19142
108.0;Hontoria de Cerrato;Total;Total habitantes;Personas.;34086
172.0;Hontoria de la Cantera;Total;Total habitantes;Personas.;09162
152.0;Hontoria de Valdearados;Total;Total habitantes;Personas.;09164
613.0;Hontoria del Pinar;Total;Total habitantes;Personas.;09163
434.0;Horcajada, La;Total;Total habitantes;Personas.;05097
219.0;Horcajo de la Sierra-Aoslos;Total;Total habitantes;Personas.;28070
425.0;Horcajo de las Torres;Total;Total habitantes;Personas.;05099
798.0;Horcajo de los Montes;Total;Total habitantes;Personas.;13049
107.0;Horcajo de Montemayor;Total;Total habitantes;Personas.;37161
3894.0;Horcajo de Santiago;Total;Total habitantes;Personas.;16106
199.0;Horcajo Medianero;Total;Total habitantes;Personas.;37162
104.0;Horcajuelo de la Sierra;Total;Total habitantes;Personas.;28071
3119.0;Horche;Total;Total habitantes;Personas.;19143
93.0;Hormazas, Las;Total;Total habitantes;Personas.;09166
1035.0;Hormigos;Total;Total habitantes;Personas.;45076
442.0;Hormilla;Total;Total habitantes;Personas.;26075
153.0;Hormilleja;Total;Total habitantes;Personas.;26076
3375.0;Hornachos;Total;Total habitantes;Personas.;06069
4383.0;Hornachuelos;Total;Total habitantes;Personas.;14036
263.0;Hornillo, El;Total;Total habitantes;Personas.;05100
14.0;Hornillos de Cameros;Total;Total habitantes;Personas.;26077
171.0;Hornillos de Cerrato;Total;Total habitantes;Personas.;34087
182.0;Hornillos de Eresma;Total;Total habitantes;Personas.;47074
44.0;Hornillos del Camino;Total;Total habitantes;Personas.;09167
561.0;Hornos;Total;Total habitantes;Personas.;23043
92.0;Hornos de Moncalvillo;Total;Total habitantes;Personas.;26078
295.0;Horra, La;Total;Total habitantes;Personas.;09168
1150.0;Horta de Sant Joan;Total;Total habitantes;Personas.;43071
32.0;Hortezuela de Océn;Total;Total habitantes;Personas.;19145
103.0;Hortigüela;Total;Total habitantes;Personas.;09169
948.0;Hospital de Órbigo;Total;Total habitantes;Personas.;24082
289510.0;Hospitalet de Llobregat, L';Total;Total habitantes;Personas.;08101
3258.0;Hostalets de Pierola, Els;Total;Total habitantes;Personas.;08162
4493.0;Hostalric;Total;Total habitantes;Personas.;17083
32.0;Hoya, La;Total;Total habitantes;Personas.;37163
582.0;Hoya-Gonzalo;Total;Total habitantes;Personas.;02040
208.0;Hoyales de Roa;Total;Total habitantes;Personas.;09170
9310.0;Hoyo de Manzanares;Total;Total habitantes;Personas.;28072
2179.0;Hoyo de Pinares, El;Total;Total habitantes;Personas.;05102
294.0;Hoyocasero;Total;Total habitantes;Personas.;05101
57.0;Hoyorredondo;Total;Total habitantes;Personas.;05103
848.0;Hoyos;Total;Total habitantes;Personas.;10100
24.0;Hoyos de Miguel Muñoz;Total;Total habitantes;Personas.;05106
28.0;Hoyos del Collado;Total;Total habitantes;Personas.;05104
350.0;Hoyos del Espino;Total;Total habitantes;Personas.;05105
81.0;Hoz de Jaca;Total;Total habitantes;Personas.;22122
85.0;Hoz de la Vieja, La;Total;Total habitantes;Personas.;44124
225.0;Hoz y Costean;Total;Total habitantes;Personas.;22908
7900.0;Huarte/Uharte;Total;Total habitantes;Personas.;31122
890.0;Huecas;Total;Total habitantes;Personas.;45077
526.0;Huécija;Total;Total habitantes;Personas.;04051
203.0;Huélaga;Total;Total habitantes;Personas.;10101
343.0;Huélago;Total;Total habitantes;Personas.;18096
68.0;Huélamo;Total;Total habitantes;Personas.;16107
5485.0;Huelma;Total;Total habitantes;Personas.;23044
143215.0;Huelva;Total;Total habitantes;Personas.;21041
105.0;Huelves;Total;Total habitantes;Personas.;16108
1180.0;Huéneja;Total;Total habitantes;Personas.;18097
18660.0;Huércal de Almería;Total;Total habitantes;Personas.;04052
20860.0;Huércal-Overa;Total;Total habitantes;Personas.;04053
856.0;Huércanos;Total;Total habitantes;Personas.;26079
52.0;Huerce, La;Total;Total habitantes;Personas.;19146
41.0;Huérguina;Total;Total habitantes;Personas.;16109
159.0;Huérmeces;Total;Total habitantes;Personas.;09172
43.0;Huérmeces del Cerro;Total;Total habitantes;Personas.;19147
282.0;Huerta;Total;Total habitantes;Personas.;37164
121.0;Huerta de Arriba;Total;Total habitantes;Personas.;09173
126.0;Huerta de la Obispalía;Total;Total habitantes;Personas.;16110
889.0;Huerta de Rey;Total;Total habitantes;Personas.;09174
1836.0;Huerta de Valdecarábanos;Total;Total habitantes;Personas.;45078
155.0;Huerta del Marquesado;Total;Total habitantes;Personas.;16111
51.0;Huertahernando;Total;Total habitantes;Personas.;19148
216.0;Huerto;Total;Total habitantes;Personas.;22124
173.0;Huertos, Los;Total;Total habitantes;Personas.;40103
2411.0;Huesa;Total;Total habitantes;Personas.;23045
55.0;Huesa del Común;Total;Total habitantes;Personas.;44125
55454.0;Huesca;Total;Total habitantes;Personas.;22125
7241.0;Huéscar;Total;Total habitantes;Personas.;18098
1814.0;Huete;Total;Total habitantes;Personas.;16112
1964.0;Huétor de Santillán;Total;Total habitantes;Personas.;18099
10749.0;Huétor Tájar;Total;Total habitantes;Personas.;18100
12285.0;Huétor Vega;Total;Total habitantes;Personas.;18101
113.0;Hueva;Total;Total habitantes;Personas.;19150
3388.0;Huévar del Aljarafe;Total;Total habitantes;Personas.;41051
114.0;Humada;Total;Total habitantes;Personas.;09175
1841.0;Humanes;Total;Total habitantes;Personas.;19151
20500.0;Humanes de Madrid;Total;Total habitantes;Personas.;28073
3373.0;Humilladero;Total;Total habitantes;Personas.;29059
59.0;Hurones;Total;Total habitantes;Personas.;09176
41.0;Hurtumpascual;Total;Total habitantes;Personas.;05107
413.0;Husillos;Total;Total habitantes;Personas.;34088
538.0;Ibahernando;Total;Total habitantes;Personas.;10102
279.0;Ibargoiti;Total;Total habitantes;Personas.;31124
4114.0;Ibarra;Total;Total habitantes;Personas.;20042
669.0;Ibarrangelu;Total;Total habitantes;Personas.;48048
351.0;Ibdes;Total;Total habitantes;Personas.;50125
1492.0;Ibeas de Juarros;Total;Total habitantes;Personas.;09177
24500.0;Ibi;Total;Total habitantes;Personas.;03079
1084.0;Ibias;Total;Total habitantes;Personas.;33028
110.0;Ibieca;Total;Total habitantes;Personas.;22126
30.0;Ibrillos;Total;Total habitantes;Personas.;09178
2773.0;Ibros;Total;Total habitantes;Personas.;23046
24616.0;Icod de los Vinos;Total;Total habitantes;Personas.;38022
2217.0;Idiazabal;Total;Total habitantes;Personas.;20043
578.0;Igantzi;Total;Total habitantes;Personas.;31259
638.0;Igea;Total;Total habitantes;Personas.;26080
45.0;Iglesiarrubia;Total;Total habitantes;Personas.;09179
136.0;Iglesias;Total;Total habitantes;Personas.;09180
357.0;Iglesuela del Cid, La;Total;Total habitantes;Personas.;44126
448.0;Iglesuela del Tiétar, La;Total;Total habitantes;Personas.;45079
4344.0;Igorre;Total;Total habitantes;Personas.;48094
727.0;Igriés;Total;Total habitantes;Personas.;22127
42085.0;Igualada;Total;Total habitantes;Personas.;08102
733.0;Igualeja;Total;Total habitantes;Personas.;29060
1012.0;Igüeña;Total;Total habitantes;Personas.;24083
307.0;Igúzquiza;Total;Total habitantes;Personas.;31125
498.0;Ikaztegieta;Total;Total habitantes;Personas.;20044
183.0;Ilche;Total;Total habitantes;Personas.;22128
4809.0;Illa de Arousa, A;Total;Total habitantes;Personas.;36901
8.0;Illán de Vacas;Total;Total habitantes;Personas.;45080
938.0;Illana;Total;Total habitantes;Personas.;19152
277.0;Illano;Total;Total habitantes;Personas.;33029
492.0;Íllar;Total;Total habitantes;Personas.;04054
1048.0;Illas;Total;Total habitantes;Personas.;33030
33301.0;Illescas;Total;Total habitantes;Personas.;45081
9923.0;Íllora;Total;Total habitantes;Personas.;18102
2782.0;Illueca;Total;Total habitantes;Personas.;50126
433.0;Imotz;Total;Total habitantes;Personas.;31126
36262.0;Inca;Total;Total habitantes;Personas.;07027
1513.0;Incio, O;Total;Total habitantes;Personas.;27024
32905.0;Ingenio;Total;Total habitantes;Personas.;35011
4567.0;Iniesta;Total;Total habitantes;Personas.;16113
19.0;Iniéstola;Total;Total habitantes;Personas.;19153
507.0;Instinción;Total;Total habitantes;Personas.;04055
60.0;Inviernas, Las;Total;Total habitantes;Personas.;19154
172.0;Irañeta;Total;Total habitantes;Personas.;31127
1340.0;Irixo, O;Total;Total habitantes;Personas.;32035
1343.0;Irixoa;Total;Total habitantes;Personas.;15039
1819.0;Iruela, La;Total;Total habitantes;Personas.;23047
29.0;Iruelos;Total;Total habitantes;Personas.;37165
93.0;Irueste;Total;Total habitantes;Personas.;19155
63835.0;Irun;Total;Total habitantes;Personas.;20045
3704.0;Iruña Oka/Iruña de Oca;Total;Total habitantes;Personas.;01901
1885.0;Irura;Total;Total habitantes;Personas.;20046
559.0;Iruraiz-Gauna;Total;Total habitantes;Personas.;01027
2296.0;Irurtzun;Total;Total habitantes;Personas.;31904
384.0;Isaba/Izaba;Total;Total habitantes;Personas.;31128
234.0;Isábena;Total;Total habitantes;Personas.;22129
279.0;Isar;Total;Total habitantes;Personas.;09181
6493.0;Íscar;Total;Total habitantes;Personas.;47075
21525.0;Isla Cristina;Total;Total habitantes;Personas.;21042
5748.0;Isla Mayor;Total;Total habitantes;Personas.;41902
1038.0;Isona i Conca Dellà;Total;Total habitantes;Personas.;25115
314.0;Isòvol;Total;Total habitantes;Personas.;17084
721.0;Ispaster;Total;Total habitantes;Personas.;48049
1707.0;Istán;Total;Total habitantes;Personas.;29061
32.0;Isuerre;Total;Total habitantes;Personas.;50128
147.0;Itero de la Vega;Total;Total habitantes;Personas.;34089
74.0;Itero del Castillo;Total;Total habitantes;Personas.;09182
1022.0;Ítrabo;Total;Total habitantes;Personas.;18103
687.0;Itsasondo;Total;Total habitantes;Personas.;20047
189.0;Ituero de Azaba;Total;Total habitantes;Personas.;37166
492.0;Ituero y Lama;Total;Total habitantes;Personas.;40104
543.0;Ituren;Total;Total habitantes;Personas.;31129
428.0;Iturmendi;Total;Total habitantes;Personas.;31130
3897.0;Iurreta;Total;Total habitantes;Personas.;48910
317.0;Ivars de Noguera;Total;Total habitantes;Personas.;25112
1578.0;Ivars d'Urgell;Total;Total habitantes;Personas.;25113
100.0;Ivorra;Total;Total habitantes;Personas.;25114
1459.0;Iza/Itza;Total;Total habitantes;Personas.;31131
153.0;Izagaondoa;Total;Total habitantes;Personas.;31132
133.0;Izagre;Total;Total habitantes;Personas.;24084
36.0;Izalzu/Itzaltzu;Total;Total habitantes;Personas.;31133
3676.0;Iznájar;Total;Total habitantes;Personas.;14037
5179.0;Iznalloz;Total;Total habitantes;Personas.;18105
940.0;Iznate;Total;Total habitantes;Personas.;29062
874.0;Iznatoraf;Total;Total habitantes;Personas.;23048
224.0;Izurtza;Total;Total habitantes;Personas.;48050
66.0;Jabaloyas;Total;Total habitantes;Personas.;44127
1939.0;Jabalquinto;Total;Total habitantes;Personas.;23049
2183.0;Jabugo;Total;Total habitantes;Personas.;21043
14024.0;Jaca;Total;Total habitantes;Personas.;22130
2176.0;Jacarilla;Total;Total habitantes;Personas.;03080
1522.0;Jadraque;Total;Total habitantes;Personas.;19156
112235.0;Jaén;Total;Total habitantes;Personas.;23050
386.0;Jafre;Total;Total habitantes;Personas.;17085
808.0;Jalance;Total;Total habitantes;Personas.;46142
23.0;Jalón de Cameros;Total;Total habitantes;Personas.;26081
149.0;Jambrina;Total;Total habitantes;Personas.;49096
3319.0;Jamilena;Total;Total habitantes;Personas.;23051
679.0;Jana, la;Total;Total habitantes;Personas.;12070
294.0;Jaraba;Total;Total habitantes;Personas.;50129
788.0;Jarafuel;Total;Total habitantes;Personas.;46144
418.0;Jaraicejo;Total;Total habitantes;Personas.;10103
6831.0;Jaraíz de la Vera;Total;Total habitantes;Personas.;10104
45.0;Jaramillo de la Fuente;Total;Total habitantes;Personas.;09183
12.0;Jaramillo Quemado;Total;Total habitantes;Personas.;09184
2894.0;Jarandilla de la Vera;Total;Total habitantes;Personas.;10105
127.0;Jarilla;Total;Total habitantes;Personas.;10106
66.0;Jarque de la Val;Total;Total habitantes;Personas.;44128
373.0;Jarque de Moncayo;Total;Total habitantes;Personas.;50130
90.0;Jasa;Total;Total habitantes;Personas.;22131
631.0;Játar;Total;Total habitantes;Personas.;18106
48.0;Jatiel;Total;Total habitantes;Personas.;44129
305.0;Jaulín;Total;Total habitantes;Personas.;50131
179.0;Jaurrieta;Total;Total habitantes;Personas.;31134
30642.0;Xàbia/Jávea;Total;Total habitantes;Personas.;03082
106.0;Javier;Total;Total habitantes;Personas.;31135
979.0;Jayena;Total;Total habitantes;Personas.;18107
213634.0;Jerez de la Frontera;Total;Total habitantes;Personas.;11020
9095.0;Jerez de los Caballeros;Total;Total habitantes;Personas.;06070
955.0;Jérez del Marquesado;Total;Total habitantes;Personas.;18108
1764.0;Jérica;Total;Total habitantes;Personas.;12071
1189.0;Jerte;Total;Total habitantes;Personas.;10107
990.0;Jete;Total;Total habitantes;Personas.;18109
7669.0;Xixona/Jijona;Total;Total habitantes;Personas.;03083
1219.0;Jimena;Total;Total habitantes;Personas.;23052
6719.0;Jimena de la Frontera;Total;Total habitantes;Personas.;11021
399.0;Jimera de Líbar;Total;Total habitantes;Personas.;29063
44.0;Jirueque;Total;Total habitantes;Personas.;19157
241.0;Joarilla de las Matas;Total;Total habitantes;Personas.;24086
11285.0;Jódar;Total;Total habitantes;Personas.;23053
3420.0;Jonquera, La;Total;Total habitantes;Personas.;17086
850.0;Jorba;Total;Total habitantes;Personas.;08103
42.0;Jorcas;Total;Total habitantes;Personas.;44130
356.0;Jorquera;Total;Total habitantes;Personas.;02041
34.0;Josa;Total;Total habitantes;Personas.;44131
110.0;Josa i Tuixén;Total;Total habitantes;Personas.;25910
1156.0;Joyosa, La;Total;Total habitantes;Personas.;50132
53.0;Juarros de Riomoros;Total;Total habitantes;Personas.;40105
185.0;Juarros de Voltoya;Total;Total habitantes;Personas.;40106
585.0;Jubrique;Total;Total habitantes;Personas.;29064
319.0;Juià;Total;Total habitantes;Personas.;17087
27574.0;Jumilla;Total;Total habitantes;Personas.;30022
4103.0;Jun;Total;Total habitantes;Personas.;18111
40.0;Junciana;Total;Total habitantes;Personas.;05108
377.0;Juncosa;Total;Total habitantes;Personas.;25118
3453.0;Juneda;Total;Total habitantes;Personas.;25119
118.0;Junta de Traslaloma;Total;Total habitantes;Personas.;09189
79.0;Junta de Villalba de Losa;Total;Total habitantes;Personas.;09190
39.0;Jurisdicción de Lara;Total;Total habitantes;Personas.;09191
62.0;Jurisdicción de San Zadornil;Total;Total habitantes;Personas.;09192
562.0;Juslapeña/Txulapain;Total;Total habitantes;Personas.;31136
75.0;Justel;Total;Total habitantes;Personas.;49097
140.0;Juviles;Total;Total habitantes;Personas.;18112
176.0;Juzbado;Total;Total habitantes;Personas.;37167
208.0;Júzcar;Total;Total habitantes;Personas.;29065
2715.0;Karrantza Harana/Valle de Carranza;Total;Total habitantes;Personas.;48022
447.0;Kortezubi;Total;Total habitantes;Personas.;48907
174.0;Kripan;Total;Total habitantes;Personas.;01019
402.0;Kuartango;Total;Total habitantes;Personas.;01020
105.0;Labajos;Total;Total habitantes;Personas.;40107
1558.0;Labastida/Bastida;Total;Total habitantes;Personas.;01028
550.0;Labores, Las;Total;Total habitantes;Personas.;13050
179.0;Labuerda;Total;Total habitantes;Personas.;22133
3892.0;Láchar;Total;Total habitantes;Personas.;18115
177.0;Ladrillar;Total;Total habitantes;Personas.;10108
1294.0;Lagartera;Total;Total habitantes;Personas.;45082
117.0;Lagartos;Total;Total habitantes;Personas.;34091
113.0;Lagata;Total;Total habitantes;Personas.;50133
177.0;Lagrán;Total;Total habitantes;Personas.;01030
1459.0;Laguardia;Total;Total habitantes;Personas.;01031
73.0;Lagueruela;Total;Total habitantes;Personas.;44132
608.0;Laguna Dalga;Total;Total habitantes;Personas.;24087
109.0;Laguna de Cameros;Total;Total habitantes;Personas.;26082
111.0;Laguna de Contreras;Total;Total habitantes;Personas.;40108
22965.0;Laguna de Duero;Total;Total habitantes;Personas.;47076
1056.0;Laguna de Negrillos;Total;Total habitantes;Personas.;24088
54.0;Laguna del Marquesado;Total;Total habitantes;Personas.;16115
50.0;Lagunaseca;Total;Total habitantes;Personas.;16116
414.0;Lagunilla;Total;Total habitantes;Personas.;37168
385.0;Lagunilla del Jubera;Total;Total habitantes;Personas.;26083
1560.0;Lahiguera;Total;Total habitantes;Personas.;23040
1338.0;Lakuntza;Total;Total habitantes;Personas.;31138
20292.0;Lalín;Total;Total habitantes;Personas.;36024
198.0;Laluenga;Total;Total habitantes;Personas.;22135
849.0;Lalueza;Total;Total habitantes;Personas.;22136
2437.0;Lama, A;Total;Total habitantes;Personas.;36025
237.0;Lamasón;Total;Total habitantes;Personas.;39034
149.0;Lana;Total;Total habitantes;Personas.;31139
1140.0;Lanaja;Total;Total habitantes;Personas.;22137
2489.0;Láncara;Total;Total habitantes;Personas.;27026
700.0;Lanciego/Lantziego;Total;Total habitantes;Personas.;01032
1175.0;Landete;Total;Total habitantes;Personas.;16117
244.0;Lanestosa;Total;Total habitantes;Personas.;48051
441.0;Langa;Total;Total habitantes;Personas.;05109
696.0;Langa de Duero;Total;Total habitantes;Personas.;42103
110.0;Langa del Castillo;Total;Total habitantes;Personas.;50134
246.0;Langayo;Total;Total habitantes;Personas.;47077
38612.0;Langreo;Total;Total habitantes;Personas.;33031
79.0;Languilla;Total;Total habitantes;Personas.;40109
3708.0;Lanjarón;Total;Total habitantes;Personas.;18116
277.0;Lantadilla;Total;Total habitantes;Personas.;34092
929.0;Lantarón;Total;Total habitantes;Personas.;01902
533.0;Lanteira;Total;Total habitantes;Personas.;18117
3857.0;Lantejuela;Total;Total habitantes;Personas.;41052
150.0;Lantz;Total;Total habitantes;Personas.;31140
771.0;Lanzahíta;Total;Total habitantes;Personas.;05110
24.0;Lanzuela;Total;Total habitantes;Personas.;44133
298.0;Lapa, La;Total;Total habitantes;Personas.;06071
87.0;Laperdiguera;Total;Total habitantes;Personas.;22139
123.0;Lapoblación;Total;Total habitantes;Personas.;31141
895.0;Lapuebla de Labarca;Total;Total habitantes;Personas.;01033
11781.0;Laracha, A;Total;Total habitantes;Personas.;15041
12060.0;Lardero;Total;Total habitantes;Personas.;26084
10698.0;Laredo;Total;Total habitantes;Personas.;39035
484.0;Larouco;Total;Total habitantes;Personas.;32038
197.0;Laroya;Total;Total habitantes;Personas.;04056
2039.0;Larrabetzu;Total;Total habitantes;Personas.;48052
2158.0;Larraga;Total;Total habitantes;Personas.;31142
100.0;Larraona;Total;Total habitantes;Personas.;31143
263.0;Larraul;Total;Total habitantes;Personas.;20048
918.0;Larraun;Total;Total habitantes;Personas.;31144
178.0;Larrodrigo;Total;Total habitantes;Personas.;37169
435.0;Larva;Total;Total habitantes;Personas.;23054
19435.0;Lasarte-Oria;Total;Total habitantes;Personas.;20902
138.0;Lascellas-Ponzano;Total;Total habitantes;Personas.;22141
139.0;Lascuarre;Total;Total habitantes;Personas.;22142
255.0;Laspaúles;Total;Total habitantes;Personas.;22143
277.0;Laspuña;Total;Total habitantes;Personas.;22144
295.0;Lastras de Cuéllar;Total;Total habitantes;Personas.;40110
55.0;Lastras del Pozo;Total;Total habitantes;Personas.;40111
4781.0;Lastrilla, La;Total;Total habitantes;Personas.;40112
18077.0;Laudio/Llodio;Total;Total habitantes;Personas.;01036
1674.0;Laujar de Andarax;Total;Total habitantes;Personas.;04057
1239.0;Laukiz;Total;Total habitantes;Personas.;48053
12352.0;Laviana;Total;Total habitantes;Personas.;33032
2883.0;Laxe;Total;Total habitantes;Personas.;15040
95.0;Layana;Total;Total habitantes;Personas.;50135
931.0;Layos;Total;Total habitantes;Personas.;45083
1156.0;Laza;Total;Total habitantes;Personas.;32039
170.0;Lazagurría;Total;Total habitantes;Personas.;31145
6087.0;Lazkao;Total;Total habitantes;Personas.;20049
390.0;Leaburu;Total;Total habitantes;Personas.;20050
38.0;Leache/Leatxe;Total;Total habitantes;Personas.;31146
27788.0;Lebrija;Total;Total habitantes;Personas.;41053
578.0;Lécera;Total;Total habitantes;Personas.;50136
39.0;Lechón;Total;Total habitantes;Personas.;50138
1087.0;Leciñena;Total;Total habitantes;Personas.;50137
2244.0;Lecrín;Total;Total habitantes;Personas.;18119
98.0;Ledanca;Total;Total habitantes;Personas.;19159
1552.0;Ledaña;Total;Total habitantes;Personas.;16118
1480.0;Ledesma;Total;Total habitantes;Personas.;37170
16.0;Ledesma de la Cogolla;Total;Total habitantes;Personas.;26086
59.0;Ledigos;Total;Total habitantes;Personas.;34094
476.0;Ledrada;Total;Total habitantes;Personas.;37171
195734.0;Leganés;Total;Total habitantes;Personas.;28074
223.0;Leganiel;Total;Total habitantes;Personas.;16119
143.0;Legarda;Total;Total habitantes;Personas.;31147
111.0;Legaria;Total;Total habitantes;Personas.;31148
8384.0;Legazpi;Total;Total habitantes;Personas.;20051
1457.0;Legorreta;Total;Total habitantes;Personas.;20052
2094.0;Legutio;Total;Total habitantes;Personas.;01058
205.0;Leintz-Gatzaga;Total;Total habitantes;Personas.;20068
32748.0;Leioa;Total;Total habitantes;Personas.;48054
1517.0;Leiro;Total;Total habitantes;Personas.;32040
3011.0;Leitza;Total;Total habitantes;Personas.;31149
235.0;Leiva;Total;Total habitantes;Personas.;26087
7211.0;Lekeitio;Total;Total habitantes;Personas.;48057
1746.0;Lekunberri;Total;Total habitantes;Personas.;31908
3614.0;Lemoa;Total;Total habitantes;Personas.;48055
1347.0;Lemoiz;Total;Total habitantes;Personas.;48056
10382.0;Lena;Total;Total habitantes;Personas.;33033
368.0;Lentegí;Total;Total habitantes;Personas.;18120
123446.0;León;Total;Total habitantes;Personas.;24089
202.0;Leoz/Leotz;Total;Total habitantes;Personas.;31150
29677.0;Lepe;Total;Total habitantes;Personas.;21044
44.0;Lerga;Total;Total habitantes;Personas.;31151
1821.0;Lerín;Total;Total habitantes;Personas.;31152
2629.0;Lerma;Total;Total habitantes;Personas.;09194
1036.0;Les;Total;Total habitantes;Personas.;25121
2721.0;Lesaka;Total;Total habitantes;Personas.;31153
911.0;Letur;Total;Total habitantes;Personas.;02042
349.0;Letux;Total;Total habitantes;Personas.;50139
205.0;Leza;Total;Total habitantes;Personas.;01034
40.0;Leza de Río Leza;Total;Total habitantes;Personas.;26088
2430.0;Lezama;Total;Total habitantes;Personas.;48081
248.0;Lezaun;Total;Total habitantes;Personas.;31154
6184.0;Lezo;Total;Total habitantes;Personas.;20053
1281.0;Lezuza;Total;Total habitantes;Personas.;02043
5854.0;Librilla;Total;Total habitantes;Personas.;30023
102.0;Libros;Total;Total habitantes;Personas.;44135
49.0;Liceras;Total;Total habitantes;Personas.;42105
56.0;Lidón;Total;Total habitantes;Personas.;44136
354.0;Liédena;Total;Total habitantes;Personas.;31155
1218.0;Liendo;Total;Total habitantes;Personas.;39036
2365.0;Liérganes;Total;Total habitantes;Personas.;39037
1052.0;Liétor;Total;Total habitantes;Personas.;02044
378.0;Líjar;Total;Total habitantes;Personas.;04058
2519.0;Lillo;Total;Total habitantes;Personas.;45084
1983.0;Limpias;Total;Total habitantes;Personas.;39038
55633.0;Linares;Total;Total habitantes;Personas.;23055
279.0;Linares de la Sierra;Total;Total habitantes;Personas.;21045
242.0;Linares de Mora;Total;Total habitantes;Personas.;44137
924.0;Linares de Riofrío;Total;Total habitantes;Personas.;37172
64499.0;Línea de la Concepción, La;Total;Total habitantes;Personas.;11022
2762.0;Linyola;Total;Total habitantes;Personas.;25122
173.0;Litago;Total;Total habitantes;Personas.;50140
123.0;Lituénigo;Total;Total habitantes;Personas.;50141
672.0;Lizartza;Total;Total habitantes;Personas.;20054
287.0;Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti;Total;Total habitantes;Personas.;31156
959.0;Llacuna, La;Total;Total habitantes;Personas.;08104
822.0;Lladó;Total;Total habitantes;Personas.;17088
246.0;Lladorre;Total;Total habitantes;Personas.;25123
186.0;Lladurs;Total;Total habitantes;Personas.;25124
13280.0;Llagosta, La;Total;Total habitantes;Personas.;08105
9585.0;Llagostera;Total;Total habitantes;Personas.;17089
783.0;Llamas de la Ribera;Total;Total habitantes;Personas.;24092
737.0;Llambilles;Total;Total habitantes;Personas.;17090
516.0;Llanars;Total;Total habitantes;Personas.;17091
4892.0;Llançà;Total;Total habitantes;Personas.;17092
14020.0;Llanera;Total;Total habitantes;Personas.;33035
1062.0;Llanera de Ranes;Total;Total habitantes;Personas.;46154
13486.0;Llanes;Total;Total habitantes;Personas.;33036
45.0;Llano de Bureba;Total;Total habitantes;Personas.;09195
49.0;Llano de Olmedo;Total;Total habitantes;Personas.;47079
20582.0;Llanos de Aridane, Los;Total;Total habitantes;Personas.;38024
57.0;Llanos de Tormes, Los;Total;Total habitantes;Personas.;05113
651.0;Llanos del Caudillo;Total;Total habitantes;Personas.;13904
444.0;Llardecans;Total;Total habitantes;Personas.;25125
1226.0;Llaurí;Total;Total habitantes;Personas.;46155
342.0;Llavorsí;Total;Total habitantes;Personas.;25126
150.0;Lledó;Total;Total habitantes;Personas.;44141
146266.0;Lleida;Total;Total habitantes;Personas.;25120
781.0;Llera;Total;Total habitantes;Personas.;06073
5642.0;Llerena;Total;Total habitantes;Personas.;06074
1269.0;Llers;Total;Total habitantes;Personas.;17093
290.0;Lles de Cerdanya;Total;Total habitantes;Personas.;25127
882.0;Llíber;Total;Total habitantes;Personas.;03085
16540.0;Lliçà d'Amunt;Total;Total habitantes;Personas.;08107
6903.0;Lliçà de Vall;Total;Total habitantes;Personas.;08108
130.0;Llimiana;Total;Total habitantes;Personas.;25128
10956.0;Llinars del Vallès;Total;Total habitantes;Personas.;08106
25333.0;Llíria;Total;Total habitantes;Personas.;46147
1562.0;Llívia;Total;Total habitantes;Personas.;17094
99.0;Lloar, El;Total;Total habitantes;Personas.;43072
201.0;Llobera;Total;Total habitantes;Personas.;25129
132.0;Llocnou de la Corona;Total;Total habitantes;Personas.;46152
594.0;Llocnou de Sant Jeroni;Total;Total habitantes;Personas.;46153
944.0;Llocnou d'En Fenollet;Total;Total habitantes;Personas.;46151
2791.0;Llombai;Total;Total habitantes;Personas.;46156
105.0;Llorac;Total;Total habitantes;Personas.;43073
2425.0;Llorenç del Penedès;Total;Total habitantes;Personas.;43074
43000.0;Lloret de Mar;Total;Total habitantes;Personas.;17095
1691.0;Lloret de Vistalegre;Total;Total habitantes;Personas.;07028
3765.0;Llosa de Ranes, la;Total;Total habitantes;Personas.;46157
1033.0;Llosa, la;Total;Total habitantes;Personas.;12074
6463.0;Lloseta;Total;Total habitantes;Personas.;07029
197.0;Llosses, Les;Total;Total habitantes;Personas.;17096
2589.0;Llubí;Total;Total habitantes;Personas.;07030
281.0;Lluçà;Total;Total habitantes;Personas.;08109
1421.0;Llucena/Lucena del Cid;Total;Total habitantes;Personas.;12072
40502.0;Llucmajor;Total;Total habitantes;Personas.;07031
2314.0;Llutxent;Total;Total habitantes;Personas.;46150
358.0;Loarre;Total;Total habitantes;Personas.;22149
703.0;Lobeira;Total;Total habitantes;Personas.;32041
