COD_PROV,PROVINCIA,Anyo,Periodo,pernoctaciones,viajeros,_meta.fecha_extraccion
11,Cádiz,2025,M03,2766.0,1496.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M04,5075.0,2311.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M05,5372.0,2643.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M06,5527.0,2561.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M07,8335.0,2940.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M08,12677.0,4117.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M09,3945.0,2049.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M10,4090.0,1941.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M11,3961.0,1780.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M12,4150.0,1816.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M01,2737.0,1079.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M02,2716.0,1300.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M03,3825.0,1850.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M04,5235.0,2621.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M05,5311.0,1986.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M06,7042.0,2519.0,2026-09-14T13:39:22.163107
11,Cádiz,2026,M07,8855.0,2469.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M01,7992.0,2549.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M02,9215.0,3453.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M03,8156.0,2608.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M04,10800.0,4058.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M05,9024.0,3091.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M06,8141.0,3184.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M07,11957.0,3627.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M08,17855.0,4241.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M09,7984.0,3480.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M10,10642.0,3935.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M11,8245.0,3712.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2025,M12,13132.0,5176.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M01,8795.0,3223.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M02,7442.0,3261.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M03,6166.0,2338.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M04,9927.0,3844.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M05,10707.0,4011.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M06,7459.0,2936.0,2026-09-14T13:39:22.163107
12,Castellón/Castelló,2026,M07,12952.0,3708.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M01,3689.0,1860.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M02,6881.0,3549.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M03,8929.0,4993.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M04,11374.0,5722.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M05,10196.0,5424.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M06,9808.0,5558.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M07,12525.0,6445.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M08,15589.0,7439.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M09,11438.0,6000.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M10,10603.0,5743.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M11,9781.0,4441.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2025,M12,10953.0,5301.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M01,3966.0,2029.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M02,4165.0,2217.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M03,5199.0,2971.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M04,7967.0,4151.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M05,8589.0,4459.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M06,7288.0,3851.0,2026-09-14T13:39:22.163107
13,Ciudad Real,2026,M07,9077.0,4627.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M01,2593.0,1165.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M02,4283.0,2334.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M03,4028.0,2127.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M04,7372.0,3037.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M05,5882.0,2541.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M06,2862.0,1489.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M07,7599.0,2794.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M08,10900.0,3270.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M09,4592.0,2021.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M10,3854.0,2098.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M11,5720.0,2599.0,2026-09-14T13:39:22.163107
14,Córdoba,2025,M12,9355.0,3877.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M01,2800.0,940.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M02,4519.0,1806.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M03,5384.0,2094.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M04,6324.0,1974.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M05,5554.0,2385.0,2026-09-14T13:39:22.163107
14,Córdoba,2026,M06,5963.0,2604.0,2026-09-14T13:39:22.163107
