COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
04,Almería,2024,M08,241.0,69.81,81.37,70.89,43253.0,2026-09-14T13:39:16.852415
04,Almería,2024,M09,229.0,58.75,67.72,52.23,41147.0,2026-09-14T13:39:16.852415
04,Almería,2024,M10,191.0,49.18,55.87,39.15,25702.0,2026-09-14T13:39:16.852415
04,Almería,2024,M11,153.0,34.33,45.79,30.39,13528.0,2026-09-14T13:39:16.852415
04,Almería,2024,M12,156.0,33.56,36.02,27.12,14216.0,2026-09-14T13:39:16.852415
04,Almería,2025,M01,132.0,29.41,38.2,26.98,10809.0,2026-09-14T13:39:16.852415
04,Almería,2025,M02,148.0,46.83,53.99,38.82,17091.0,2026-09-14T13:39:16.852415
04,Almería,2025,M03,160.0,43.98,54.6,38.64,20516.0,2026-09-14T13:39:16.852415
04,Almería,2025,M04,204.0,53.54,58.88,44.78,28754.0,2026-09-14T13:39:16.852415
04,Almería,2025,M05,218.0,52.77,57.54,42.0,37172.0,2026-09-14T13:39:16.852415
04,Almería,2025,M06,234.0,62.94,66.63,53.15,42308.0,2026-09-14T13:39:16.852415
04,Almería,2025,M07,242.0,69.08,73.98,64.67,44346.0,2026-09-14T13:39:16.852415
04,Almería,2025,M08,243.0,71.01,83.63,70.89,44428.0,2026-09-14T13:39:16.852415
04,Almería,2025,M09,233.0,62.06,68.91,52.67,42460.0,2026-09-14T13:39:16.852415
04,Almería,2025,M10,189.0,49.7,52.63,38.18,26601.0,2026-09-14T13:39:16.852415
04,Almería,2025,M11,153.0,38.34,45.46,31.15,13711.0,2026-09-14T13:39:16.852415
04,Almería,2025,M12,141.0,27.54,36.96,26.98,13516.0,2026-09-14T13:39:16.852415
04,Almería,2026,M01,139.0,27.67,36.08,24.62,11296.0,2026-09-14T13:39:16.852415
04,Almería,2026,M02,151.0,43.97,48.04,34.18,17077.0,2026-09-14T13:39:16.852415
04,Almería,2026,M03,193.0,43.37,56.63,40.44,25026.0,2026-09-14T13:39:16.852415
04,Almería,2026,M04,201.0,52.08,58.28,43.62,29823.0,2026-09-14T13:39:16.852415
04,Almería,2026,M05,213.0,58.49,63.36,47.79,36453.0,2026-09-14T13:39:16.852415
04,Almería,2026,M06,231.0,67.12,71.69,59.91,40700.0,2026-09-14T13:39:16.852415
04,Almería,2026,M07,251.0,72.37,75.52,68.82,41652.0,2026-09-14T13:39:16.852415
05,Ávila,2024,M08,104.0,53.32,52.23,47.94,5040.0,2026-09-14T13:39:16.852415
05,Ávila,2024,M09,98.0,61.05,49.37,42.61,4857.0,2026-09-14T13:39:16.852415
05,Ávila,2024,M10,99.0,59.48,47.91,40.46,4855.0,2026-09-14T13:39:16.852415
05,Ávila,2024,M11,100.0,48.93,39.4,33.56,4923.0,2026-09-14T13:39:16.852415
05,Ávila,2024,M12,92.0,44.13,33.26,30.04,4558.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M01,88.0,30.89,25.53,20.91,4431.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M02,92.0,46.35,32.55,28.08,4672.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M03,93.0,40.76,31.89,27.29,4641.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M04,99.0,54.64,42.82,37.65,4920.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M05,102.0,52.53,49.15,40.91,5010.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M06,104.0,52.27,44.98,37.57,5030.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M07,105.0,51.79,40.66,36.21,5216.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M08,104.0,53.24,48.99,45.53,5096.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M09,103.0,60.69,46.57,40.4,4972.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M10,104.0,54.04,43.3,37.05,5049.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M11,100.0,43.28,35.65,31.04,4897.0,2026-09-14T13:39:16.852415
05,Ávila,2025,M12,90.0,42.81,32.7,30.17,4551.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M01,95.0,31.99,29.21,24.03,4622.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M02,93.0,48.11,34.93,29.3,4466.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M03,93.0,52.82,38.83,33.03,4529.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M04,98.0,59.81,46.32,40.11,4680.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M05,98.0,56.99,47.55,40.18,4781.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M06,98.0,57.11,47.04,37.69,4848.0,2026-09-14T13:39:16.852415
05,Ávila,2026,M07,94.0,52.69,45.98,39.73,4752.0,2026-09-14T13:39:16.852415
06,Badajoz,2024,M08,172.0,53.78,54.71,50.81,9244.0,2026-09-14T13:39:16.852415
06,Badajoz,2024,M09,161.0,57.05,55.85,47.52,9131.0,2026-09-14T13:39:16.852415
06,Badajoz,2024,M10,175.0,52.01,53.55,43.8,9292.0,2026-09-14T13:39:16.852415
06,Badajoz,2024,M11,172.0,44.91,46.36,37.86,9235.0,2026-09-14T13:39:16.852415
06,Badajoz,2024,M12,168.0,42.62,39.3,34.55,8814.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M01,148.0,26.89,31.54,24.31,7924.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M02,155.0,42.19,40.84,32.93,8202.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M03,163.0,45.78,46.35,37.53,8902.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M04,171.0,54.09,49.99,44.0,9165.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M05,168.0,54.12,55.75,46.9,9014.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M06,176.0,50.49,46.79,39.47,9292.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M07,174.0,47.47,47.01,41.19,9203.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M08,173.0,49.85,51.14,47.79,9274.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M09,172.0,50.71,49.65,43.53,9217.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M10,171.0,52.75,51.8,43.55,9213.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M11,168.0,40.68,43.72,35.54,9159.0,2026-09-14T13:39:16.852415
06,Badajoz,2025,M12,162.0,35.58,35.81,30.6,8607.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M01,147.0,29.93,31.61,25.37,7923.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M02,149.0,44.2,41.04,33.95,8173.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M03,159.0,45.24,44.76,36.41,8938.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M04,164.0,54.0,51.71,45.17,9039.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M05,162.0,50.95,51.78,41.87,8740.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M06,171.0,47.37,47.45,39.42,9128.0,2026-09-14T13:39:16.852415
06,Badajoz,2026,M07,164.0,47.46,47.9,41.98,8882.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2024,M08,1371.0,88.84,91.88,89.65,378667.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2024,M09,1357.0,81.32,87.94,80.39,376393.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2024,M10,1120.0,70.78,74.31,68.96,321031.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2024,M11,190.0,53.06,60.07,47.69,28452.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2024,M12,154.0,51.3,53.92,43.93,22777.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M01,133.0,39.43,48.16,36.73,20939.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M02,203.0,60.71,63.79,56.07,39719.0,2026-09-14T13:39:16.852415
