COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
06,Badajoz,2024,M11,225.0,27.14,20.72,14.65,2671.0,2026-09-14T13:39:21.195883
06,Badajoz,2024,M12,221.0,30.25,21.39,15.02,2610.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M01,205.0,13.84,9.79,7.56,2454.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M02,214.0,23.99,14.84,11.24,2690.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M03,221.0,24.44,15.66,11.74,2756.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M04,241.0,33.18,24.69,17.92,2935.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M05,239.0,25.64,26.07,15.74,2913.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M06,243.0,29.48,17.29,13.52,2953.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M07,239.0,32.21,25.04,17.83,2917.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M08,239.0,33.82,34.39,26.6,2925.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M09,236.0,33.05,21.02,16.42,2854.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M10,226.0,30.98,20.93,15.75,2704.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M11,251.0,24.71,16.88,12.11,3049.0,2026-09-14T13:39:21.195883
06,Badajoz,2025,M12,238.0,28.45,20.37,15.56,2888.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M01,228.0,16.59,13.89,9.85,2713.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M02,239.0,19.75,17.83,10.65,2822.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M03,242.0,22.84,14.86,10.85,2917.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M04,249.0,32.26,24.28,16.62,2937.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M05,255.0,25.17,19.42,13.73,3015.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M06,243.0,30.18,22.2,17.29,2918.0,2026-09-14T13:39:21.195883
06,Badajoz,2026,M07,244.0,31.09,25.63,18.11,2860.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2024,M08,579.0,62.3,75.36,68.81,12207.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2024,M09,573.0,63.31,72.32,64.6,12205.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2024,M10,517.0,55.36,58.55,52.02,10929.0,2026-09-14T13:39:21.195883
