COD,Nombre,T3_Unidad,T3_Escala,Fecha,T3_Periodo,T3_TipoDato,Anyo,Valor,MetaData_json,tabla_id,_meta.fecha_extraccion
DPOP23420,Santibáñez de Tera. Hombres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,183.0,"[{""Id"": 8185, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Tera"", ""Codigo"": ""49205""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP23421,Santibáñez de Tera. Mujeres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,168.0,"[{""Id"": 8185, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Tera"", ""Codigo"": ""49205""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP22291,Santibáñez de Valcorba. Total. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,195.0,"[{""Id"": 7938, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Valcorba"", ""Codigo"": ""47154""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP22292,Santibáñez de Valcorba. Hombres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,111.0,"[{""Id"": 7938, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Valcorba"", ""Codigo"": ""47154""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP22293,Santibáñez de Valcorba. Mujeres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,84.0,"[{""Id"": 7938, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Valcorba"", ""Codigo"": ""47154""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP23422,Santibáñez de Vidriales. Total. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,846.0,"[{""Id"": 613, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Vidriales"", ""Codigo"": ""49206""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP23423,Santibáñez de Vidriales. Hombres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,426.0,"[{""Id"": 613, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Vidriales"", ""Codigo"": ""49206""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP23424,Santibáñez de Vidriales. Mujeres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,420.0,"[{""Id"": 613, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez de Vidriales"", ""Codigo"": ""49206""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP4354,Santibáñez del Val. Total. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,64.0,"[{""Id"": 5195, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez del Val"", ""Codigo"": ""09356""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP4355,Santibáñez del Val. Hombres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,38.0,"[{""Id"": 5195, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez del Val"", ""Codigo"": ""09356""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
DPOP4356,Santibáñez del Val. Mujeres. Total habitantes. Personas. ,Personas, ,2025-01-01T00:00:00.000+01:00,A,Definitivo,2025,26.0,"[{""Id"": 5195, ""T3_Variable"": ""Municipios"", ""Nombre"": ""Santibáñez del Val"", ""Codigo"": ""09356""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]",29005,2026-09-14T13:34:55.957179
