cod_prov,provincia,poblacion,total_viajeros,media_mensual_viajeros,std_mensual_viajeros,presion_turistica,indice_estacionalidad,n_meses,_meta.fecha_extraccion
32,Ourense,305223.0,351246.0,29270.5,5259.374081321153,1.1507848360051502,0.17968173011465993,12,2026-09-06T23:46:39.776749
33,Asturias,1011792.0,1950100.0,162508.33333333334,67601.97030928145,1.9273724243718076,0.41599079211905915,12,2026-09-06T23:46:39.776749
34,Palencia,159123.0,212522.0,17710.166666666668,6355.767657423572,1.3355831652243861,0.35887678399922296,12,2026-09-06T23:46:39.776749
35,"Palmas, Las",1128539.0,6666444.0,555537.0,38811.859174039244,5.907145433166244,0.06986367996018131,12,2026-09-06T23:46:39.776749
36,Pontevedra,944275.0,1816621.0,151385.08333333334,75127.92700993823,1.9238262158799078,0.49627034154028754,12,2026-09-06T23:46:39.776749
37,Salamanca,327338.0,1052725.0,87727.08333333333,23034.970747888103,3.216018305238011,0.2625753629624615,12,2026-09-06T23:46:39.776749
38,Santa Cruz de Tenerife,1044405.0,4733750.0,394479.1666666667,23801.20103475809,4.532485003423002,0.060335761799228324,12,2026-09-06T23:46:39.776749
39,Cantabria,584507.0,1356673.0,113056.08333333333,54479.71589743427,2.321055179835314,0.48188221536745496,12,2026-09-06T23:46:39.776749
40,Segovia,153663.0,552434.0,46036.166666666664,11490.078968265174,3.595100967702049,0.24958809128182208,12,2026-09-06T23:46:39.776749
41,Sevilla,1947852.0,3943622.0,328635.1666666667,31556.727477046887,2.0246004316549717,0.09602358687636965,12,2026-09-06T23:46:39.776749
42,Soria,88747.0,254253.0,21187.75,6140.71944445067,2.8649193775564243,0.2898240466519886,12,2026-09-06T23:46:39.776749
43,Tarragona,822309.0,3321528.0,276794.0,172296.62872710908,4.03926990948658,0.6224724117109081,12,2026-09-06T23:46:39.776749
44,Teruel,134545.0,461740.0,38478.333333333336,9519.329907025383,3.431862945482924,0.2473945486297583,12,2026-09-06T23:46:39.776749
45,Toledo,709403.0,933499.0,77791.58333333333,17291.97873665093,1.3158937867474483,0.22228598513743578,12,2026-09-06T23:46:39.776749
46,Valencia/València,2589312.0,3754974.0,312914.5,55428.79647472389,1.4501821333234466,0.1771371939450677,12,2026-09-06T23:46:39.776749
47,Valladolid,519361.0,719973.0,59997.75,8947.92620082746,1.3862669703732087,0.14913769601072474,12,2026-09-06T23:46:39.776749
48,Bizkaia,1154334.0,1796509.0,149709.08333333334,34800.37825410505,1.5563164560690406,0.2324533520562717,12,2026-09-06T23:46:39.776749
49,Zamora,168725.0,216629.0,18052.416666666668,5197.06113558131,1.2839176174248037,0.2878872802209109,12,2026-09-06T23:46:39.776749
50,Zaragoza,967452.0,1594324.0,132860.33333333334,20871.8957031321,1.6479618627074004,0.1570965176699248,12,2026-09-06T23:46:39.776749
51,Ceuta,83517.0,62844.0,5237.0,1368.6752719326817,0.75246955709616,0.2613471972374798,12,2026-09-06T23:46:39.776749
52,Melilla,86261.0,69053.0,5754.416666666667,1004.7684905971971,0.8005123984187524,0.17460822682818075,12,2026-09-06T23:46:39.776749
